IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
13.40.46.249,2086,80,false,ORD,North America,US,Chicago,173,0.00
13.40.46.249,2087,80,false,ORD,North America,US,Chicago,199,0.00
13.40.46.249,8080,80,false,ORD,North America,US,Chicago,221,0.00
13.40.46.249,2083,80,false,ORD,North America,US,Chicago,175,0.00
35.165.8.181,8880,80,false,ORD,North America,US,Chicago,200,0.00
35.165.8.181,8080,80,false,ORD,North America,US,Chicago,200,0.00
18.175.188.49,443,80,false,ORD,North America,US,Chicago,163,0.00
96.0.147.142,80,80,false,MNL,Asia Pacific,PH,Manila,30,0.00
96.0.144.206,80,80,false,MNL,Asia Pacific,PH,Manila,30,0.00
96.0.147.114,443,80,false,MNL,Asia Pacific,PH,Manila,30,0.00
96.0.147.114,80,80,false,MNL,Asia Pacific,PH,Manila,33,0.00
13.250.38.94,80,80,false,SIN,Asia Pacific,SG,Singapore,33,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,SG,Singapore,63,0.00
16.162.172.91,2087,80,false,HKG,Asia Pacific,HK,Hong Kong,71,0.00
13.215.211.239,8080,80,false,SIN,Asia Pacific,SG,Singapore,72,0.00
16.162.172.91,2053,80,false,HKG,Asia Pacific,HK,Hong Kong,73,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,KR,Seoul,87,0.00
16.162.172.91,2096,80,false,HKG,Asia Pacific,HK,Hong Kong,88,0.00
16.162.172.91,2083,80,false,HKG,Asia Pacific,HK,Hong Kong,91,0.00
13.237.94.188,2053,80,false,SYD,Oceania,AU,Sydney,92,0.00
16.162.177.179,2052,80,false,HKG,Asia Pacific,HK,Hong Kong,92,0.00
13.237.94.188,2086,80,false,SYD,Oceania,AU,Sydney,94,0.00
16.162.172.91,2082,80,false,HKG,Asia Pacific,HK,Hong Kong,98,0.00
13.54.173.154,2086,80,false,SYD,Oceania,AU,Sydney,98,0.00
13.237.94.188,2052,80,false,SYD,Oceania,AU,Sydney,100,0.00
13.55.59.224,2052,80,false,SYD,Oceania,AU,Sydney,102,0.00
13.236.104.165,2083,80,false,SYD,Oceania,AU,Sydney,105,0.00
13.55.59.224,2083,80,false,SYD,Oceania,AU,Sydney,106,0.00
13.54.173.154,2052,80,false,SYD,Oceania,AU,Sydney,107,0.00
13.233.111.252,8080,80,false,CDG,Europe,FR,Paris,108,0.00
16.162.177.179,2096,80,false,HKG,Asia Pacific,HK,Hong Kong,108,0.00
13.55.59.224,2095,80,false,SYD,Oceania,AU,Sydney,109,0.00
13.237.94.188,2095,80,false,SYD,Oceania,AU,Sydney,110,0.00
16.162.172.91,2052,80,false,HKG,Asia Pacific,HK,Hong Kong,110,0.00
16.162.177.179,2082,80,false,HKG,Asia Pacific,HK,Hong Kong,111,0.00
13.238.235.196,2086,80,false,SYD,Oceania,AU,Sydney,112,0.00
13.236.104.165,2096,80,false,SYD,Oceania,AU,Sydney,113,0.00
13.54.173.154,2096,80,false,SYD,Oceania,AU,Sydney,114,0.00
13.236.104.165,2095,80,false,SYD,Oceania,AU,Sydney,115,0.00
13.55.59.224,2087,80,false,SYD,Oceania,AU,Sydney,115,0.00
13.236.104.165,2086,80,false,SYD,Oceania,AU,Sydney,116,0.00
16.162.177.179,2095,80,false,HKG,Asia Pacific,HK,Hong Kong,117,0.00
13.236.104.165,2052,80,false,SYD,Oceania,AU,Sydney,122,0.00
13.238.235.196,2096,80,false,SYD,Oceania,AU,Sydney,122,0.00
13.236.104.165,2053,80,false,SYD,Oceania,AU,Sydney,123,0.00
16.162.177.179,2087,80,false,HKG,Asia Pacific,HK,Hong Kong,125,0.00
13.55.59.224,2053,80,false,SYD,Oceania,AU,Sydney,126,0.00
13.236.104.165,2087,80,false,SYD,Oceania,AU,Sydney,126,0.00
13.54.173.154,2082,80,false,SYD,Oceania,AU,Sydney,126,0.00
16.162.177.179,2083,80,false,HKG,Asia Pacific,HK,Hong Kong,126,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,JP,Tokyo,130,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,SG,Singapore,131,0.00
13.55.59.224,2086,80,false,SYD,Oceania,AU,Sydney,132,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,SG,Singapore,136,0.00
13.238.235.196,2087,80,false,SYD,Oceania,AU,Sydney,137,0.00
13.54.173.154,2095,80,false,SYD,Oceania,AU,Sydney,138,0.00
13.55.59.224,2096,80,false,SYD,Oceania,AU,Sydney,139,0.00
13.237.94.188,2083,80,false,SYD,Oceania,AU,Sydney,142,0.00
13.238.235.196,2082,80,false,SYD,Oceania,AU,Sydney,143,0.00
13.238.235.196,2095,80,false,SYD,Oceania,AU,Sydney,144,0.00
13.237.94.188,2096,80,false,SYD,Oceania,AU,Sydney,144,0.00
13.238.235.196,2053,80,false,SYD,Oceania,AU,Sydney,147,0.00
13.236.104.165,2082,80,false,SYD,Oceania,AU,Sydney,153,0.00
16.162.172.91,2086,80,false,HKG,Asia Pacific,HK,Hong Kong,153,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,SG,Singapore,156,0.00
13.54.81.122,2052,80,false,SYD,Oceania,AU,Sydney,157,0.00
15.236.116.199,2087,80,false,CDG,Europe,FR,Paris,159,0.00
13.36.162.145,2087,80,false,CDG,Europe,FR,Paris,159,0.00
13.36.24.111,2052,80,false,CDG,Europe,FR,Paris,159,0.00
15.236.116.199,2082,80,false,CDG,Europe,FR,Paris,159,0.00
13.36.253.240,2052,80,false,CDG,Europe,FR,Paris,160,0.00
15.237.180.102,443,443,true,AMS,Europe,NL,Amsterdam,160,0.00
67.226.223.245,80,443,true,LHR,Europe,GB,London,160,0.00
13.37.165.175,2053,80,false,CDG,Europe,FR,Paris,160,0.00
15.188.168.174,2086,80,false,CDG,Europe,FR,Paris,160,0.00
15.236.116.199,2095,80,false,CDG,Europe,FR,Paris,161,0.00
13.237.94.188,2082,80,false,SYD,Oceania,AU,Sydney,162,0.00
16.162.177.179,2053,80,false,HKG,Asia Pacific,HK,Hong Kong,169,0.00
13.36.63.124,2086,80,false,CDG,Europe,FR,Paris,169,0.00
13.36.24.111,2086,80,false,CDG,Europe,FR,Paris,172,0.00
13.36.63.124,2087,80,false,CDG,Europe,FR,Paris,172,0.00
13.237.94.188,2087,80,false,SYD,Oceania,AU,Sydney,172,0.00
13.36.63.124,2095,80,false,CDG,Europe,FR,Paris,172,0.00
13.36.24.111,2083,80,false,CDG,Europe,FR,Paris,172,0.00
13.36.162.145,2053,80,false,CDG,Europe,FR,Paris,172,0.00
13.36.162.145,2095,80,false,CDG,Europe,FR,Paris,173,0.00
13.36.63.124,2096,80,false,CDG,Europe,FR,Paris,173,0.00
13.36.24.111,2096,80,false,CDG,Europe,FR,Paris,174,0.00
13.36.253.240,2083,80,false,CDG,Europe,FR,Paris,174,0.00
15.236.116.199,2086,80,false,CDG,Europe,FR,Paris,174,0.00
13.36.24.111,2082,80,false,CDG,Europe,FR,Paris,175,0.00
67.226.223.248,80,443,true,LHR,Europe,GB,London,175,0.00
13.36.253.240,2096,80,false,CDG,Europe,FR,Paris,175,0.00
13.36.162.145,2096,80,false,CDG,Europe,FR,Paris,175,0.00
15.188.168.174,2082,80,false,CDG,Europe,FR,Paris,175,0.00
15.236.116.199,2052,80,false,CDG,Europe,FR,Paris,176,0.00
15.161.119.140,2095,80,false,MXP,Europe,IT,Milan,176,0.00
15.160.14.66,2096,80,false,MXP,Europe,IT,Milan,176,0.00
15.161.74.249,2096,80,false,MXP,Europe,IT,Milan,176,0.00
15.160.80.28,2052,80,false,MXP,Europe,IT,Milan,177,0.00
15.236.165.53,443,80,false,CDG,Europe,FR,Paris,177,0.00
15.160.14.66,2082,80,false,MXP,Europe,IT,Milan,177,0.00
13.36.63.124,2052,80,false,CDG,Europe,FR,Paris,177,0.00
15.161.216.233,2095,80,false,MXP,Europe,IT,Milan,177,0.00
15.160.15.101,2096,80,false,MXP,Europe,IT,Milan,177,0.00
15.160.252.181,2086,80,false,MXP,Europe,IT,Milan,177,0.00
15.160.15.255,2053,80,false,MXP,Europe,IT,Milan,177,0.00
15.161.40.69,2052,80,false,MXP,Europe,IT,Milan,178,0.00
15.161.40.69,2087,80,false,MXP,Europe,IT,Milan,178,0.00
15.160.15.255,2083,80,false,MXP,Europe,IT,Milan,178,0.00
15.188.168.174,2096,80,false,CDG,Europe,FR,Paris,178,0.00
15.161.74.249,2095,80,false,MXP,Europe,IT,Milan,178,0.00
15.160.15.101,2087,80,false,MXP,Europe,IT,Milan,178,0.00
15.160.252.181,2087,80,false,MXP,Europe,IT,Milan,178,0.00
15.161.40.69,2053,80,false,MXP,Europe,IT,Milan,178,0.00
15.161.119.140,2083,80,false,MXP,Europe,IT,Milan,178,0.00
18.102.5.243,2052,80,false,MXP,Europe,IT,Milan,179,0.00
15.161.40.69,2086,80,false,MXP,Europe,IT,Milan,179,0.00
13.36.253.240,2087,80,false,CDG,Europe,FR,Paris,179,0.00
13.36.63.124,2083,80,false,CDG,Europe,FR,Paris,180,0.00
13.36.63.124,2053,80,false,CDG,Europe,FR,Paris,180,0.00
15.160.19.149,2087,80,false,MXP,Europe,IT,Milan,180,0.00
15.160.252.181,2082,80,false,MXP,Europe,IT,Milan,181,0.00
67.226.223.182,80,443,true,LHR,Europe,GB,London,181,0.00
15.161.40.69,2095,80,false,MXP,Europe,IT,Milan,182,0.00
15.160.80.28,2096,80,false,MXP,Europe,IT,Milan,183,0.00
15.160.15.101,2086,80,false,MXP,Europe,IT,Milan,183,0.00
15.161.119.140,2096,80,false,MXP,Europe,IT,Milan,183,0.00
15.188.168.174,2052,80,false,CDG,Europe,FR,Paris,183,0.00
15.161.40.69,2083,80,false,MXP,Europe,IT,Milan,183,0.00
15.161.74.249,2082,80,false,MXP,Europe,IT,Milan,184,0.00
15.161.186.110,2086,80,false,MXP,Europe,IT,Milan,184,0.00
16.171.132.217,443,443,true,CPH,Europe,DK,Copenhagen,184,0.00
15.161.216.233,2053,80,false,MXP,Europe,IT,Milan,185,0.00
13.51.138.200,2083,80,false,ARN,Europe,SE,Stockholm,185,0.00
15.188.168.174,2053,80,false,CDG,Europe,FR,Paris,185,0.00
16.170.211.163,443,443,true,CPH,Europe,DK,Copenhagen,185,0.00
13.48.140.41,2053,80,false,ARN,Europe,SE,Stockholm,185,0.00
15.160.14.66,2053,80,false,MXP,Europe,IT,Milan,185,0.00
13.51.138.200,2095,80,false,ARN,Europe,SE,Stockholm,185,0.00
13.54.173.154,2083,80,false,SYD,Oceania,AU,Sydney,186,0.00
13.53.47.110,2082,80,false,ARN,Europe,SE,Stockholm,186,0.00
15.160.19.149,2082,80,false,MXP,Europe,IT,Milan,186,0.00
15.160.252.181,2083,80,false,MXP,Europe,IT,Milan,186,0.00
13.48.36.215,2053,80,false,ARN,Europe,SE,Stockholm,186,0.00
15.160.15.255,2086,80,false,MXP,Europe,IT,Milan,186,0.00
15.160.14.66,2095,80,false,MXP,Europe,IT,Milan,186,0.00
15.236.116.199,2083,80,false,CDG,Europe,FR,Paris,186,0.00
15.160.19.149,2095,80,false,MXP,Europe,IT,Milan,186,0.00
13.51.138.200,2082,80,false,ARN,Europe,SE,Stockholm,186,0.00
15.161.215.18,2086,80,false,MXP,Europe,IT,Milan,187,0.00
13.51.138.200,2096,80,false,ARN,Europe,SE,Stockholm,187,0.00
13.49.119.167,2095,80,false,ARN,Europe,SE,Stockholm,187,0.00
15.161.74.249,2087,80,false,MXP,Europe,IT,Milan,187,0.00
16.171.249.59,443,443,true,CPH,Europe,DK,Copenhagen,188,0.00
13.36.166.73,443,443,true,AMS,Europe,NL,Amsterdam,188,0.00
16.63.55.49,2083,80,false,MXP,Europe,IT,Milan,188,0.00
15.161.215.18,2052,80,false,MXP,Europe,IT,Milan,188,0.00
15.160.14.66,2087,80,false,MXP,Europe,IT,Milan,189,0.00
15.160.252.181,2053,80,false,MXP,Europe,IT,Milan,189,0.00
13.48.36.215,2082,80,false,ARN,Europe,SE,Stockholm,189,0.00
13.53.47.110,2096,80,false,ARN,Europe,SE,Stockholm,190,0.00
15.161.215.18,2082,80,false,MXP,Europe,IT,Milan,190,0.00
15.161.74.249,2053,80,false,MXP,Europe,IT,Milan,190,0.00
15.160.15.255,2096,80,false,MXP,Europe,IT,Milan,190,0.00
163.123.174.205,2082,80,false,PDX,North America,US,Portland,190,0.00
15.161.74.249,2052,80,false,MXP,Europe,IT,Milan,190,0.00
15.161.216.233,2082,80,false,MXP,Europe,IT,Milan,190,0.00
15.160.250.170,2086,80,false,MXP,Europe,IT,Milan,190,0.00
13.49.119.167,2053,80,false,ARN,Europe,SE,Stockholm,190,0.00
15.160.252.181,2096,80,false,MXP,Europe,IT,Milan,191,0.00
13.48.36.215,2095,80,false,ARN,Europe,SE,Stockholm,191,0.00
13.36.162.145,2086,80,false,CDG,Europe,FR,Paris,191,0.00
15.161.119.140,2082,80,false,MXP,Europe,IT,Milan,191,0.00
15.160.15.101,2083,80,false,MXP,Europe,IT,Milan,191,0.00
15.161.119.140,2053,80,false,MXP,Europe,IT,Milan,191,0.00
15.160.15.255,2087,80,false,MXP,Europe,IT,Milan,192,0.00
13.51.138.200,2053,80,false,ARN,Europe,SE,Stockholm,192,0.00
163.123.174.51,2086,80,false,SEA,North America,US,Seattle,192,0.00
13.237.223.44,2052,80,false,SYD,Oceania,AU,Sydney,192,0.00
15.160.80.28,2086,80,false,MXP,Europe,IT,Milan,192,0.00
15.161.216.233,2087,80,false,MXP,Europe,IT,Milan,192,0.00
15.161.216.233,2086,80,false,MXP,Europe,IT,Milan,192,0.00
15.160.80.28,2053,80,false,MXP,Europe,IT,Milan,192,0.00
15.160.14.66,2086,80,false,MXP,Europe,IT,Milan,193,0.00
15.161.186.110,2095,80,false,MXP,Europe,IT,Milan,193,0.00
13.48.36.215,2096,80,false,ARN,Europe,SE,Stockholm,193,0.00
13.36.162.145,2082,80,false,CDG,Europe,FR,Paris,194,0.00
13.238.235.196,2052,80,false,SYD,Oceania,AU,Sydney,194,0.00
15.160.15.255,2095,80,false,MXP,Europe,IT,Milan,194,0.00
16.170.136.116,2083,443,true,CPH,Europe,DK,Copenhagen,194,0.00
13.36.63.124,2082,80,false,CDG,Europe,FR,Paris,194,0.00
163.123.174.42,2087,80,false,SEA,North America,US,Seattle,194,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,SG,Singapore,194,0.00
15.160.19.149,2086,80,false,MXP,Europe,IT,Milan,194,0.00
13.49.119.167,2052,80,false,ARN,Europe,SE,Stockholm,195,0.00
13.48.36.215,2086,80,false,ARN,Europe,SE,Stockholm,195,0.00
163.123.174.219,2087,80,false,SEA,North America,US,Seattle,195,0.00
163.123.174.42,2053,80,false,SEA,North America,US,Seattle,195,0.00
13.39.231.83,443,80,false,CDG,Europe,FR,Paris,195,0.00
13.53.47.110,2087,80,false,ARN,Europe,SE,Stockholm,196,0.00
163.123.174.219,2086,80,false,SEA,North America,US,Seattle,196,0.00
163.123.174.232,2096,80,false,PDX,North America,US,Portland,196,0.00
13.49.119.167,2082,80,false,ARN,Europe,SE,Stockholm,196,0.00
163.123.174.24,2087,80,false,SEA,North America,US,Seattle,197,0.00
15.160.14.66,2052,80,false,MXP,Europe,IT,Milan,197,0.00
163.123.174.225,2053,80,false,SEA,North America,US,Seattle,197,0.00
67.226.223.129,80,443,true,LHR,Europe,GB,London,197,0.00
13.48.140.41,2096,80,false,ARN,Europe,SE,Stockholm,197,0.00
163.123.174.205,2096,80,false,PDX,North America,US,Portland,197,0.00
15.160.15.101,2082,80,false,MXP,Europe,IT,Milan,197,0.00
15.161.215.18,2083,80,false,MXP,Europe,IT,Milan,197,0.00
163.123.174.205,2053,80,false,PDX,North America,US,Portland,198,0.00
13.49.119.167,2086,80,false,ARN,Europe,SE,Stockholm,198,0.00
